time_s,type,name,field,value,units
0.0,control_surface,Flap_L,deflection,0,deg
0.0,control_surface,Flap_R,deflection,0,deg
0.0,control_surface,Flap_T,deflection,0,deg
0.0,control_surface,Flap_B,deflection,0,deg
1.0,control_surface,Flap_T,deflection,10,deg
1.0,control_surface,Flap_B,deflection,10,deg
2.0,control_surface,Flap_T,deflection,20,deg
2.0,control_surface,Flap_B,deflection,20,deg
3.0,control_surface,Flap_T,deflection,30,deg
3.0,control_surface,Flap_B,deflection,30,deg
4.0,control_surface,Flap_L,deflection,10,deg
4.0,control_surface,Flap_R,deflection,10,deg
5.0,control_surface,Flap_L,deflection,20,deg
5.0,control_surface,Flap_R,deflection,20,deg
6.0,control_surface,Flap_L,deflection,30,deg
6.0,control_surface,Flap_R,deflection,30,deg
7.0,control_surface,Flap_T,deflection,40,deg
7.0,control_surface,Flap_B,deflection,40,deg
7.0,control_surface,Flap_L,deflection,20,deg
7.0,control_surface,Flap_R,deflection,20,deg
8.0,control_surface,Flap_T,deflection,60,deg
8.0,control_surface,Flap_B,deflection,60,deg
8.0,control_surface,Flap_L,deflection,30,deg
8.0,control_surface,Flap_R,deflection,30,deg
10.0,control_surface,Flap_T,deflection,0,deg
10.0,control_surface,Flap_B,deflection,0,deg
10.0,control_surface,Flap_L,deflection,0,deg
10.0,control_surface,Flap_R,deflection,0,deg




