Altitude,Temperature,N2,O2,O,He,Ar,N,H
276000,952.8,256800000.0,9375000.0,932500000.0,13490000.0,104900.0,143500.0,2174000.0
277000,953.0,248700000.0,9036000.0,915500000.0,13430000.0,100200.0,143200.0,2137000.0
278000,953.2,240900000.0,8710000.0,898800000.0,13360000.0,95740.0,143000.0,2101000.0
279000,953.4,233300000.0,8395000.0,882400000.0,13300000.0,91470.0,142800.0,2066000.0
280000,953.6,225900000.0,8093000.0,866300000.0,13240000.0,87380.0,142600.0,2031000.0
281000,953.8,218800000.0,7801000.0,850600000.0,13180000.0,83480.0,142400.0,1997000.0
282000,954.0,211900000.0,7520000.0,835100000.0,13120000.0,79760.0,142200.0,1963000.0
283000,954.1,205300000.0,7249000.0,819900000.0,13050000.0,76200.0,142000.0,1930000.0
284000,954.3,198800000.0,6989000.0,805000000.0,12990000.0,72810.0,141800.0,1898000.0
285000,954.5,192600000.0,6738000.0,790400000.0,12930000.0,69570.0,141600.0,1866000.0
286000,954.6,186500000.0,6496000.0,776100000.0,12870000.0,66470.0,141400.0,1835000.0
287000,954.8,180700000.0,6262000.0,762000000.0,12810000.0,63520.0,141200.0,1804000.0
288000,954.9,175000000.0,6038000.0,748200000.0,12760000.0,60690.0,141000.0,1774000.0
289000,955.1,169500000.0,5822000.0,734700000.0,12700000.0,58000.0,140800.0,1744000.0
290000,955.2,164200000.0,5613000.0,721400000.0,12640000.0,55420.0,140700.0,1715000.0
291000,955.4,159100000.0,5412000.0,708400000.0,12580000.0,52970.0,140500.0,1686000.0
292000,955.5,154100000.0,5219000.0,695600000.0,12520000.0,50620.0,140300.0,1658000.0
293000,955.7,149300000.0,5032000.0,683000000.0,12460000.0,48370.0,140100.0,1631000.0
294000,955.8,144600000.0,4852000.0,670700000.0,12410000.0,46230.0,139900.0,1604000.0
295000,955.9,140100000.0,4679000.0,658600000.0,12350000.0,44180.0,139700.0,1577000.0
296000,956.0,135700000.0,4512000.0,646700000.0,12290000.0,42230.0,139500.0,1551000.0
297000,956.2,131500000.0,4351000.0,635100000.0,12240000.0,40360.0,139400.0,1525000.0
298000,956.3,127400000.0,4196000.0,623700000.0,12180000.0,38580.0,139200.0,1500000.0
299000,956.4,123400000.0,4047000.0,612500000.0,12130000.0,36870.0,139000.0,1475000.0
300000,956.5,119600000.0,3903000.0,601400000.0,12070000.0,35240.0,138800.0,1452000.0
301000,956.6,115900000.0,3764000.0,590600000.0,12020000.0,33690.0,138700.0,1428000.0
302000,956.7,112300000.0,3630000.0,580000000.0,11960000.0,32200.0,138500.0,1404000.0
303000,956.8,108800000.0,3501000.0,569600000.0,11910000.0,30780.0,138300.0,1381000.0
304000,956.9,105400000.0,3377000.0,559400000.0,11850000.0,29420.0,138100.0,1359000.0
305000,957.0,102100000.0,3257000.0,549400000.0,11800000.0,28130.0,138000.0,1336000.0
306000,957.1,98940000.0,3141000.0,539500000.0,11740000.0,26890.0,137800.0,1314000.0
307000,957.2,95870000.0,3030000.0,529900000.0,11690000.0,25710.0,137600.0,1293000.0
308000,957.3,92890000.0,2923000.0,520400000.0,11640000.0,24570.0,137400.0,1272000.0
309000,957.4,90010000.0,2819000.0,511100000.0,11590000.0,23490.0,137300.0,1251000.0
310000,957.5,87220000.0,2719000.0,501900000.0,11530000.0,22460.0,137100.0,1230000.0
311000,957.6,84520000.0,2623000.0,493000000.0,11480000.0,21470.0,136900.0,1210000.0
312000,957.6,81900000.0,2530000.0,484200000.0,11430000.0,20530.0,136800.0,1191000.0
313000,957.7,79370000.0,2441000.0,475500000.0,11380000.0,19630.0,136600.0,1171000.0
314000,957.8,76910000.0,2355000.0,467100000.0,11330000.0,18770.0,136400.0,1152000.0
315000,957.9,74530000.0,2271000.0,458700000.0,11270000.0,17940.0,136300.0,1134000.0
316000,957.9,72230000.0,2191000.0,450600000.0,11220000.0,17160.0,136100.0,1115000.0
317000,958.0,70000000.0,2114000.0,442500000.0,11170000.0,16410.0,136000.0,1097000.0
318000,958.1,67830000.0,2039000.0,434700000.0,11120000.0,15690.0,135800.0,1079000.0
319000,958.2,65740000.0,1967000.0,426900000.0,11070000.0,15000.0,135600.0,1062000.0
320000,958.2,63710000.0,1898000.0,419300000.0,11020000.0,14340.0,135500.0,1045000.0
321000,958.3,61750000.0,1831000.0,411900000.0,10970000.0,13720.0,135200.0,1028000.0
322000,958.3,59840000.0,1767000.0,404600000.0,10920000.0,13120.0,135100.0,1011000.0
323000,958.4,58000000.0,1705000.0,397400000.0,10880000.0,12540.0,134900.0,995100.0
324000,958.5,56210000.0,1645000.0,390300000.0,10830000.0,11990.0,134700.0,979100.0
325000,958.5,54480000.0,1587000.0,383400000.0,10780000.0,11470.0,134600.0,963300.0
326000,958.6,52800000.0,1531000.0,376600000.0,10730000.0,10970.0,134400.0,947900.0
327000,958.6,51180000.0,1477000.0,369900000.0,10680000.0,10490.0,134300.0,932700.0
328000,958.7,49600000.0,1425000.0,363400000.0,10630000.0,10030.0,134100.0,917700.0
329000,958.7,48080000.0,1375000.0,356900000.0,10590000.0,9595.0,134000.0,903000.0
330000,958.8,46600000.0,1327000.0,350600000.0,10540000.0,9176.0,133800.0,888600.0
331000,958.8,45170000.0,1281000.0,344400000.0,10490000.0,8776.0,133700.0,874400.0
332000,958.9,43780000.0,1236000.0,338300000.0,10440000.0,8394.0,133500.0,860400.0
333000,958.9,42440000.0,1192000.0,332300000.0,10400000.0,8028.0,133400.0,846700.0
334000,959.0,41130000.0,1151000.0,326500000.0,10350000.0,7679.0,133200.0,833200.0
335000,959.0,39870000.0,1110000.0,320700000.0,10310000.0,7345.0,133100.0,820000.0
336000,959.1,38650000.0,1072000.0,315000000.0,10260000.0,7025.0,132900.0,806900.0
337000,959.1,37470000.0,1034000.0,309500000.0,10210000.0,6720.0,132800.0,794100.0
338000,959.2,36320000.0,997900.0,304000000.0,10170000.0,6427.0,132600.0,781500.0
339000,959.2,35200000.0,963000.0,298700000.0,10120000.0,6148.0,132500.0,769100.0
340000,959.2,34130000.0,929300.0,293400000.0,10080000.0,5881.0,132300.0,756900.0
341000,959.3,33080000.0,896900.0,288200000.0,10030000.0,5626.0,132200.0,744900.0
342000,959.3,32070000.0,865600.0,283100000.0,9988000.0,5381.0,132000.0,733200.0
343000,959.3,31090000.0,835300.0,278200000.0,9944000.0,5148.0,131900.0,721600.0
344000,959.4,30140000.0,806200.0,273300000.0,9899000.0,4925.0,131700.0,710200.0
345000,959.4,29220000.0,778100.0,268500000.0,9855000.0,4711.0,131600.0,699000.0
346000,959.4,28320000.0,751000.0,263700000.0,9812000.0,4507.0,131400.0,687900.0
347000,959.5,27460000.0,724800.0,259100000.0,9768000.0,4311.0,131300.0,677100.0
348000,959.5,26620000.0,699500.0,254500000.0,9725000.0,4125.0,131100.0,666400.0
349000,959.5,25810000.0,675200.0,250100000.0,9682000.0,3946.0,131000.0,655900.0
350000,959.6,25020000.0,651700.0,245700000.0,9639000.0,3775.0,130800.0,645600.0
351000,959.6,24260000.0,629000.0,241400000.0,9596000.0,3612.0,130700.0,635500.0
352000,959.6,23520000.0,607100.0,237100000.0,9554000.0,3456.0,130500.0,625500.0
353000,959.7,22800000.0,586000.0,233000000.0,9511000.0,3306.0,130400.0,615700.0
354000,959.7,22110000.0,565600.0,228900000.0,9469000.0,3163.0,130200.0,606100.0
355000,959.7,21430000.0,546000.0,224900000.0,9427000.0,3026.0,130100.0,596600.0
356000,959.7,20780000.0,527000.0,220900000.0,9386000.0,2896.0,129900.0,587200.0
357000,959.8,20150000.0,508700.0,217100000.0,9344000.0,2771.0,129800.0,578100.0
358000,959.8,19540000.0,491100.0,213300000.0,9303000.0,2651.0,129700.0,569000.0
359000,959.8,18940000.0,474000.0,209500000.0,9262000.0,2537.0,129500.0,560100.0
360000,959.8,18370000.0,457600.0,205900000.0,9221000.0,2427.0,129400.0,551400.0
361000,959.8,17810000.0,441700.0,202300000.0,9180000.0,2322.0,129200.0,542800.0
362000,959.9,17270000.0,426400.0,198700000.0,9140000.0,2222.0,129100.0,534400.0
363000,959.9,16740000.0,411600.0,195200000.0,9100000.0,2127.0,128900.0,526000.0
364000,959.9,16230000.0,397400.0,191800000.0,9060000.0,2035.0,128800.0,517900.0
365000,959.9,15740000.0,383600.0,188500000.0,9020000.0,1947.0,128600.0,509800.0
366000,959.9,15260000.0,370300.0,185200000.0,8980000.0,1863.0,128500.0,501900.0
367000,960.0,14800000.0,357500.0,182000000.0,8940000.0,1783.0,128400.0,494100.0
368000,960.0,14350000.0,345100.0,178800000.0,8901000.0,1706.0,128200.0,486400.0
369000,960.0,13920000.0,333200.0,175700000.0,8862000.0,1633.0,128100.0,478900.0
370000,960.0,13490000.0,321700.0,172600000.0,8823000.0,1563.0,127900.0,471500.0
371000,960.0,13090000.0,310600.0,169600000.0,8784000.0,1496.0,127800.0,464200.0
372000,960.1,12690000.0,299800.0,166600000.0,8746000.0,1431.0,127600.0,457000.0
373000,960.1,12300000.0,289500.0,163700000.0,8707000.0,1370.0,127500.0,449900.0
374000,960.1,11930000.0,279500.0,160900000.0,8669000.0,1311.0,127400.0,442900.0
375000,960.1,11570000.0,269800.0,158100000.0,8631000.0,1255.0,127200.0,436100.0
376000,960.1,11220000.0,260500.0,155300000.0,8593000.0,1201.0,127100.0,429400.0
377000,960.1,10880000.0,251500.0,152600000.0,8555000.0,1149.0,126900.0,422700.0
378000,960.1,10550000.0,242900.0,150000000.0,8518000.0,1100.0,126800.0,416200.0
379000,960.2,10230000.0,234500.0,147400000.0,8481000.0,1053.0,126700.0,409800.0
380000,960.2,9925000.0,226400.0,144800000.0,8444000.0,1008.0,126500.0,403500.0
381000,960.2,9625000.0,218600.0,142300000.0,8407000.0,964.5,126400.0,397300.0
382000,960.2,9335000.0,211100.0,139800000.0,8370000.0,923.2,126200.0,391200.0
